Module                  Size  Used by
qrtr_mhi               20480  0 
cfg80211              983040  0 
rainbow_prince         53248  0 
snd_soc_samsung_slif    61440  0 
snd_soc_dp_dma         24576  0 
snd_soc_s3c_dma        16384  0 
snd_soc_cs40l26        28672  0 
snd_soc_cs35l41_i2c    69632  0 
snd_soc_cirrus_amp     69632  2 rainbow_prince,snd_soc_cs35l41_i2c
snd_soc_wm_adsp        73728  2 snd_soc_cs35l41_i2c,snd_soc_cirrus_amp
p9320_charger         126976  0 
s2miw04_charger       122880  0 
sb_mfc                 16384  2 p9320_charger,s2miw04_charger
nfc_sec_nxp           221184  0 
sec_direct_charger     53248  0 
max77705_fuelgauge     53248  0 
isg6320                40960  0 
stm_ts_spi            679936  0 
mstdrv                 20480  0 
input_cs40l26_i2c     122880  1 snd_soc_cs40l26
repeater_tusb2e11_module    16384  0 
pca9481_charger        69632  0 
hall_ic                20480  0 
hall_ic_notifier       16384  2 isg6320,hall_ic
qbt2000_spidev         20480  0 
mesh                   24576  0 
sec_vibrator_inputff_module    45056  1 input_cs40l26_i2c
stk                    73728  0 
tsl2510               131072  0 
flicker_test           16384  2 stk,tsl2510
dropdump              278528  0 
abc_hub                16384  0 
sec_debug_sched_report    20480  0 
sec_debug_hardlockup_info    16384  0 
sec_debug_sched_info    16384  0 
sec_debug_dtask        16384  0 [permanent]
sec_debug_wdd_info     16384  0 [permanent]
sec_debug_reset_reason    16384  0 [permanent]
sec_debug_hw_param     16384  0 [permanent]
sec_debug_dprm         16384  0 
sec_debug_test         57344  0 
sec_debug              20480  0 [permanent]
mcd_panel_s6e3fac_rainbow_r0  2142208  0 
cl_dsp                 24576  2 snd_soc_cs40l26,input_cs40l26_i2c
vibrator_vib_info      16384  0 
max77705_charger       57344  0 
pdic_max77705         180224  1 max77705_charger
spu_verify             16384  4 p9320_charger,s2miw04_charger,stm_ts_spi,pdic_max77705
mfd_max77705          143360  35 max77705_fuelgauge,max77705_charger,pdic_max77705
sec_battery           405504  7 p9320_charger,s2miw04_charger,sb_mfc,sec_direct_charger,max77705_fuelgauge,pca9481_charger,max77705_charger
sb_core                32768  2 sec_direct_charger,sec_battery
sec_pd                 20480  3 sec_direct_charger,pca9481_charger,sec_battery,[permanent]
sec_argos              24576  0 
sec_bootstat           16384  0 [permanent]
sec_crash_key_user     16384  0 
sec_crash_key          16384  0 
sec_reboot             24576  2 sec_debug_test,sec_debug
sec_wakeup_cpu_allocator    20480  0 
sec_thermistor         16384  0 
sec_pm_debug           16384  0 
npu                  1736704  0 
s2mps25_adc            16384  0 
nanohub               380928  1 isg6320
sensors_core           24576  4 isg6320,stk,tsl2510,nanohub
hid_waltop             16384  0 
hid_zydacron           20480  0 
hid_zpff               16384  0 
hid_twinhan            20480  0 
hid_topseed            20480  0 
hid_tivo               20480  0 
hid_tmff               16384  0 
hid_gaff               20480  0 
hid_sunplus            20480  0 
